Fornecedor,Contato,Endereço,Telefone,Municipio,Estado,Cep,Inscrição Estadadual,CNPJ/CPF,Data de Aprovação,Produtos e Serviços Oferecidos,Avaliação do Fornecedor,Vencimento
COLUMBIA MACHINE BRASIL COMERCIO DE EQUIPAMENTOS LTDA,Daniel - nfcolumbiabrasil@gmail.com,"Rua Cesar Augusto Cardoso, 207 - Parque Via Norte",(19) 3869-4025,Campinas,São Paulo,13.065-460,122.094.347.110,30.482.274/0001-25,24/08/2021,Seviço de corte em chaparia,Auto-Avaliação - 88% - Excelente - I,24/08/2023
COMERCIAL GERDAU,"RENAN CARLOS MARIN E CIA LTDA 
(19) 98161.3333 
gerdau.renan@gmail.com ","AV.PROSPERIDADE, 250 E300 PROSPERIDADE",(11) 4228-7000,São Caetano do Sul,São Paulo,09.550-700,636191966110,07.358.761/0201-94,26/10/2022,fornecedores de aços longos,Auto-Avaliação - 92% - Excelente - I,26/10/2024
COMERCIAL GOLDONI PRODUTOS SIDERURGICOS LTDA,Elias,"Rua Governador Pedro de Toledo, n.º 2191","(15) 3283-9400
",Laranjal Paulista,São Paulo,18500-000,-,58.345.265/0001-01,01/02/2018,"Beneficiamento, comercialização e venda de produtos siderúrgicos.",Certificado 9001:2015,27/02/2021
COMERCIAL NORTE SUL,,"R DO NIQUEL, 62",(19) 3462-9044,Santa Bárbara DOeste,São Paulo,13456-435,606.029.975.117,54.953.369/0001-48,19/09/2018,"tubos, chapas, cantoneiras, vigas",Auto-Avaliação - 90% - Excelente - I,19/09/2020
COMERCIO DE FERRO SAO JOAO LTDA,Cristian - cristian@feralvarez.com.br,"Rua Irmãos Souza Lima, 128",(19) 3468-3974,São João da Boa Vista,São Paulo,13872-023,639.113.576.114,72.697.568/0002-03,29/01/2021,Produtos Siderúrgicos / Ferro e Aço,Auto-Avaliação - 84% - Excelente - I,29/01/2023
Comércio de Ferros São João - Mogi Guaçu,Bruna Forçato,"RUA CORONEL DELMIRO GOUVEIA,136",(19) 3811-8000,MOGI GUACU,São Paulo,13846-170,-,,20/06/2020,Distribuidor de Aços Laminados,Auto-Avaliação - 92% - Excelente - I,20/06/2022
COMERCIO DE SUCATAS PREZOTTO,-,"RODOVIA ANHANGUERA, 680",(19) 3467-1525,Americana,São Paulo,S/N,-,10.606.898/0001-08,21/09/2018,SUCATAS,Auto-Avaliação - 100% - Excelente - I,21/09/2020
COPERFIL INDUSTRIA E COMERCIO DE PERFILADOS LTDA,Andre Barbosa,"Avenida Doutor Hipólito Pinto Ribeiro, 121",(19) 3446-7777,Limeira,São Paulo,13486-317,-,46.742.300/0001-47,05/03/2021,Produção de peças metálicas através de processo de corte e dobra.,Certificado 9001:2015,05/03/2024
CPA COML PAULISTANA DE ACOS S/A,,,,,,,-,26.704.243/0001-02,,,,
CURYFER,Renata - vendas@curyfer.com.br ,"Av. Cristóvão Colombo, 145",(19) 3927 1358,Piracicaba,São Paulo,13457-190,535.630.974.116,10.785.576/0001-65,26/01/2023,Chapas de aço,Auto-Avaliação - 92% - Excelente - I,26/01/2025
DPA DISTRIBUIDORA PAULISTA DE AÇOS,,,,,,,-,20.792.758/0001-17,,,,
EDUSA INDUSTRIAL DE AÇOS LTDA,"GLÁUCIA - COMERCIAL - vendas2@edusaacos.com.br
","ACESSO PADRE MARIANO APARICIO DE LA MATA, 1055",17-3212-3880,"SÃO JOSÉ DO RIO PRETO - SP",São Paulo,"15077-456",-,,17/02/2021,"DISTRIBUIDORA DE CHAPAS DE AÇO CARBONO
",Auto-Avaliação - 100% - Excelente - I,17/02/2023
ELINOX CENTRAL DE ACO INOXIDAVEL LTDA,Diego - qualidade.sp@elinox.com.br,RUA RUZZI 701 BAIRRO SERTAOZINHO,(11) 2065-1400,São Paulo,São Paulo,09.370-850,-,04.330.905/0001-80,11/07/2021,"Compra e venda de tubos, barras, chapas, bobinas,
conexões e cantoneiras de aço inoxidável",Certificado 9001:2015,11/07/2024
ELISEU CHAPAS - ANTONIO ELISEU LAGRANHA,eliseulagranha@gmail.com,"Rua Ary Candiotto, 17",(19) 997859869,Limeira,São Paulo,13481-363,-,016.353.088-28,12/05/2021,VENDA DE CHAPAS DE REFUGO,Auto-Avaliação - 88% - Excelente - I,12/05/2023
EVANDIR LEDIS DE SOUZA - ME,rosemeire@sometais.com.br,"RUA OSCAR SCHURING, 50 - MOINHO VELHO",(11) 3622-7700,São Paulo,São Paulo,02.929-060,149.662.276.117,08.790.409/0001-60,04/08/2021,Alumínio,Auto-Avaliação - 82% - Excelente - I,04/08/2023
EXCEL DIST DE PRODUTOS SIDERURGICOS LTDA,Paula - vendas - excel@exceldistribuidora.com.br,"ROD SP 135 KM 16,450",(19) 3414-3355,Piracicaba,São Paulo,13420-280,535.273.355.113,14.274.937/0001-60,08/02/2023,Revenda de chapas de aço carbono e inox.,Auto-Avaliação - 89% - Excelente I,08/02/2025
Expanchapas Metais Expandidos,"Geraldo - 
expanchapas.metais@yahoo.com.br","Rua Luiz Raitano, 191 - Palmeira",(19) 3456-4599,Iracemápolis,São Paulo,13495-000,-,03.136.104/0001-16,08/06/2020,"Chapas Expandidas, Chapas Perfuradas, Chapas Expandidas em Aço Inox e Carbono, Grades de Piso, Passarelas, Grades Anti-ofuscante para Rodovias, Telas Decorativas, Grades em Geral.",Auto-Avaliação - 90% - Excelente - I,08/06/2022
FAF - REPRESENTAÇÕES COMERCIAIS FERRO & AÇO,freitas.jonathanf@gmail.com,"Rua José Duarte de Souza, Jardim Santa Paula",(14) 99601-5831,São Carlos,São Paulo,13564-030,-,,14/04/2021,Comércio de metais não ferrosos em geral,Auto-Avaliação - 87% - Excelente - I,14/04/2023
FATIMA FERRO E ACO LTDA,Andrea Carla,"Av.: Projecta, 22 – Cidade Industrial",(11) 2090-1000,Guarulhos,São Paulo,07222-130,336.834.075.116,08.891.241/0003-41,02/08/2022,"Comercialização e beneficiamento de produtos
siderúrgicos para uso em indústria e construção civil.",Certificado 9001:2015,01/08/2025
FER-ALVAREZ PRODUTOS SIDERURGICOS INDUSTRIA E COMERCIO LTDA,Lucimaura,"AV. ADEMIR GOMES DE LIMA, 755 DISTRITO INDUSTRIAL",(19) 3634-7300,São João da Boa Vista,São Paulo,13877-750,639.001.305.110,45.615.184/0001-32,17/05/2021,"Comercialização de laminados planos e não planos; fabricação
de perfis dobrados para utilização em estruturas metálicas e
serviços de corte e dobra em produtos siderúrgicos para
aplicação industrial e construção civil.",Certificado 9001:2015,20/05/2024
Fessel Metalúrgica,Eduardo Nozella,"R. Cajuru, 800 - Parque Sao Jorge",(19) 3421-4994,Piracicaba,São Paulo,13413-020,535.083.236.113,47.855.135/0001-00,25/11/2019,Calandra de Barras,Auto-Avaliação - 100% - Excelente I,25/12/2020
GGD Metals - GRUPO GONÇALVES DIAS S/A,"Pedro Viana
viana@ggdmetals.com.br","AVENIDA INTERLAGOS, Nº 3322. BAIRRO UMUARAMA",(11) 5545-8200,São Paulo,São Paulo,04660-006,148.061.942.112,09.328.663/0001-04,06/09/2019,CORTE E DISTRIBUIÇÃO DE AÇOS E METAIS ESPECIAIS,Certificado 9001:2015,06/09/2021
Gilfer Comercio de Chapas de Aço,,"Rua Osorio Duque Estrada, nº 231 – Higienopolis",(19) 3433-9595 ,Piracicaba,São Paulo,,-,,,,,
GONVARRI STEEL SERVICES,Herick Rafael Lisse," Av. Francisco Ribeiras Pampliega, 35 - Jardim Nova Europa",19 3809-6673,Hortolândia ,São Paulo,13184-891,-,,17/07/2018,"COMERCIALIZAÇÃO E PRESTAÇÃO DE SERVIÇOS DE
PROCESSAMENTO DE AÇOS PLANOS.",Certificado IATF 16949:2016,16/07/2021
Granpen Indústria Metalúrgica Eireli,Hermes,Rua Aníbal Tanganelli no 148/164/182 - Pq. Ind. Recanto,(19) 3476-3164,Nova Odessa,São Paulo,,482.114.694.118,11.857.983/0001-01,,,,
GWN Tratamento de Superfície,"Nelson Luiz
gwntratusuperficie@bol.com.br","Av. Industrial Oscar Bergreen, 1264",(19) 3476-5922,Nova Odessa,São Paulo,13460-000,482.110.731.110,10.457.137/0001-23,26/07/2022,Galvanização,Auto-Avaliação - 89% - Excelente - I,26/07/2024
HS TRATAMENTO E FABRICACAO DE PECAS E ACESSORIOS LTDA,Davi - comercial@hseletrostatica.com.br,"RUA JOSE ADHEMAR PETRINI 510, LOATEMENTO PQ IND BANDEIRANTES",(19) 3454-8227,Santa Bárbara d'Oeste,São Paulo,13.457-050,606215333112,09.125.438/0001-70,10/05/2022,Prestação de serviços em tratamento superficial,Auto-Avaliação - 75% - Bom - II,10/05/2024
INDUSCON EQUIPAMENTOS PESADOS LTDA,-,,,,,,-,08.388.641/0001-77,05/10/2017,"Fabricação de tubos, reservatórios, perfis e serviços de
caldeiraria. Revenda de chapas de aço carbono e inox.",Certificado 9001:2015,06/11/2020
Inox São Luiz Eireli,Bruno Righi,"Rua Osorio Duque Estrada, 231",(19) 3432-3098,Piracicaba ,São Paulo,13424-374,-,28.011.057/0001-05,29/11/2018,Toda linha de aço inoxidável ,Auto-Avaliação - 94% - Excelente - I,29/11/2020
INTERINOX COMERCIO DE METAIS LTDA,Adriana Fogaça - adriana@interinox.com.br,"Rua General Câmara, 220",(19) 3426-3150,Piracicaba,São Paulo,13424-693,535.232.152.116,02.735.865/0001-21,19/07/2022,Materiais não ferrosos - Inox e Alumínio,Auto-Avaliação - 89% - Excelente - I,19/07/2024
Intersteel Aços e Metais,,,0,,,,-,,,,,
Italbras Comercio Representacoes LTDA - EPP,Odair Giusti,Rod Limeira Mogi Mirim Sp 147 - Km 99,(19) 3445-5575,Limeira,São Paulo,13480-970,-,04.448.782/0001-87,24/09/2018,barra chata,Auto-Avaliação - 99% - Excelente - I,24/09/2020
Jati-Serviços Comercio e Importação de Aço Ltda.,"Anderson Brugnerotto
anderson.brugnerotto@jati.com.br","Av. Horst Frederico João Heer, 700, Distrito Europarck Comercial",(19) 3115-4300,Indaiatuba,São Paulo,13348-758,353.174.691.111,03.846.642/0005-28,20/12/2021,"Distribuição de bobinas, chapas,
barras e perfis em geral, em aços
inoxidáveis, e processos de
desbobinamento, corte e dobra.",Certificado ISO 9001:2015,07/12/2024
Jefer Produtos Siderúrgicos Eireli,Paulo - paulo.silva@jefer.com.br,Rua Apolonio Pereira Martins 139 - Casa Amarela,(31) 3495-1462,Betim,Minas Gerais,32.635-275,0010603280196,02.999.999/0003-11,21/07/2021,"Aço carbono, laminados a frio, laminados a quente, pré pintados, galvanizados e aluzincos, em: blanks, sliters, perfis roletados, tubos com costura e também em bobinas.",Certificado ISO 9001:2015,23/09/2024
Jeison Casati,jeison.casati@gmail.com,"Rua Pedro Conti, 85",(19) 98165-0301,Americana,São Paulo,13465-430,-,264.290.708-24,02/06/2020,Manutenção e instalações eletricas,Auto-Avaliação - 92% - Excelente I,02/06/2022
JOMAC USINAGEM EM GERAL,Marquinho,"Avenida Interdistrital Comendador Emílio Romi, 141",(19) 3463-5909,Santa Bárbara D'Oeste,São Paulo,13456-120,-,01.830.366/0001-50,21/02/2019,Serviços de Oxicorte,Auto-Avaliação - 100% - Excelente - I,21/02/2021
JTR. Comercio de Sucatas (Metais Moisés),Ezequias metaismoises@metaismoises.com.br,Rodovia Santos Dumont,(19) 3268-6011,Campinas,São Paulo,13052-448,-,11.903.681/0001-14,08/02/2023,SUCATAS,Auto-Avaliação - 90% - Excelente - I,08/02/2025
JULIFER CORTE E DOBRA EIRELI,vendas@julifercortedobra.com.br,Rua José Virti Neto 107 - Parque São Paulo,(19) 3225-8400,Campinas,São Paulo,13052-472,-,27.462.009/0001-70,14/08/2019,"A JULIFER é uma empresa que visa à inovação e a qualidade de seus produtos, há mais de 20 anos no mercado com o seguimento de corte e dobra de chapas e calandras.",Auto-Avaliação - 100% - Excelente - I,14/08/2021
KENTUCKY INDÚSTRIA E COMÉRCIO EIRELI EPP,Ronaldo de O. Arruda,"Rua Antônio Frederico, 360 - Vila Independência",(19) 3028-2991,São Paulo,São Paulo,04224-030,113.001.943.111,65.798.589/0001-60,01/10/2020,"Comércio e industrialização de metais não ferrosos.
LATÃO/ALUMÍNIO/COBRE/BRONZE",Certificado ISO 9001:2015,27/08/2023
KLOECKNER METALS BRASIL SA,Rodrigo - rodrigo.alexandre@kloecknermetals.com.br,"Rua Eugeino Losso, 451 – Unileste",(19) 3414-9399,Piracicaba,São Paulo,13422-180,-,08.879.248/0010-77,10/12/2021,"Distribuidor de Aços Laminados a Frio e a Quente, Zincados, Blanks e Corte Térmico",Auto-Avaliação - 87% - Excelente - I,10/12/2023
KM TUBOS,VALDEMAR,"Rua Limeira, 221",(19) 3407-2989,Santa Bárbara D'Oeste,São Paulo,13454-214,-,06.193.523/0001-88,03/10/2018,"TRABALHAMOS COM A DISTRIBUIÇÃO DE TUBOS DE AÇO, CARBONO REDONDO, 
QUADRADO E RETANGULAR",Auto-Avaliação - 77% - Bom - II,03/10/2020
LABTESTE ANALISES E ENSAIOS DE MATERIAIS METALICOS LTDA ,labteste@labteste.com.br,RUA VEREADOR SERGIO LEOPOLDINO ALVES,(19) 3463-5436,SANTA BARBARA D'OESTE,São Paulo,13.456-166,-,07.116.616/0001-71,12/05/2021,"laboratório metalúrgico especializado na prestação de serviços de Análises Químicas,",Auto-Avaliação - 91% - Excelente - I,12/05/2023
LAFTEC SERVICOS TECNICOS ESPECIALIZADOS LTDA,Silmara - comercial.am1@laftec.com.br,"RUA PADRE MANOEL DA NOBREGA, 159 - VILA SANTA CATARINA",(19) 3621-6971,Americana,São Paulo,13.466-321,165.409.020.113,27.212.039/0001-29,16/01/2020,Calibração de instrumetos de metrologia,Certifcado ISO 9001:2015,07/11/2023
Lansa Ferro e Aco Ltda,jussara.amj@gmail.com,Rodovia 127 - 2600 Eco Polo,(21) 3756-2281,Paracambi,RJ,26.600-000,79030651,30.640.502/0003-00,06/09/2022,Fornecimento de chapas em aço carbono,Auto-Avaliação - 86% - Excelente - I,06/09/2024
LEALFER INDÚSTRIA E COMÉRCIO DE AÇO LTDA,Gizelli Zinani,"Av. Paschoal Thomeu, 1.608, Bonsucesso","C.|11| 98860.6745 WhatsApp
",Guarulhos,São Paulo,07175-090,-,,22/02/2019,"Industrialização e comercialização de aços laminados planos na forma de bobinas, blanks, chapas, rolos, tiras, relaminados e peças cortadas em oxicorte ou plasma. Serviço de corte, oxicorte ou corte em plasma em bobinas, blanks, chapas, rolos, tiras ou placas de aço.",Certificado ISO 9001:2015,23/04/2022
LIMERACO PRODUTOS SIDERURGICOS LTDA,,"Rua João Gazzeta, 380, Jd. Novo Horizonte","(19) 3452.6505 
",Limeira,São Paulo,13487-260,-,01.673.465/0001-76,25/11/2019,"Barras Chatas em aço, laminadas a frio.",Auto-Avaliação - 100% - Excelente - I,25/11/2020
Lineaço Ferro e Aço,Marcos - marcos@lineaco.com.br,"Av Jose Paulino, 3916 Sta Terezinha",(19) 3874.9144,Paulínia,São Paulo,13140-000,513.454.064.114,08.144.901/0001-69,,Distribuição de Ferro e Aço,,
LUITEX MAQUINAS E FERRAMENTAS LTDA  AME,compras@luitex.com.br,"RUA DOM PEDRO II, 790",(19) 3475-9490,Americana,São Paulo,13.465-040,165.038.713.110,51.051.811/0002-33,29/09/2022,Ferramentas e construção,Auto-Avaliação - 88% - Excelente I,29/09/2024
M.P.S. Comercio de Materiais de Construcao e Sid. Ltda,vendas@curyfer.com.br ,"Rua Fausto Lex, 190 Jardim Pacaembu",(19) 99105-4992,Piracicaba,São Paulo,13.424-530,535.852.648.114,41.301.204/0001-40,24/06/2021,Chapas de aço,Auto-Avaliação - 89% - Excelente - I,24/06/2023
MACINOX ESTAMPARIA E CHAPA PERFURADA LTDA,Daniel,"Rua Osvaldo Petterman, 593, Jardim das Margaridas","(19) 3434-0192
",Piracicaba,São Paulo,13424-374,535.194.455.111,00.546.378/0001-95,18/02/2020,Serviço de chapas perfuradas e estamparia.,Auto-Avaliação - 87% - Excelente - I,18/02/2022
MAFERAÇO,"Kauê Andrade
compras@maferaco.com.br","Rua do Funileiro, 53",(19) 3468-3974,Americana,São Paulo,13478-732,165.366.214.110,10.481.617/0001-20,03/06/2020,Calhas/Inox,Auto-Avaliação - 91% - Excelente - I,03/06/2022
MALTA MINAS INDUSTRIAL LTDA,contato.sbo@acosmalta.com.br,"RUA DA FLUORITA, 390 - JARDIM SAO FERNANDO",(14) 3642-1077,Santa Bárbara d'Oeste,SP,13.454-270,606378482118,44.646.249/0002-25,28/09/2022,Fornecimento de chapas em aço carbono,Auto-Avaliação - 86% - Excelente - I,28/09/2024
MANETONI DISTR DE PRODUTOS SID IMP E EXP LTDA,Batistela,"ROD CORNELIO PIRES SP 127, KM 43,5",(19) 99781-8989,Piracicaba,São Paulo,13401-620,492.936.340.119,49.795.800/0015-30,23/09/2021,"Distribuição e comercialização de produtos siderúrgicos e prestação de
serviços associados para cercamentos de pequenas, médias e grandes áreas
residenciais, Industriais e rurais e processo de produção do telas de
alambrados",Certificado ISO 9001:2015,10/9/2024
MARED ACO INOXIDAVEL LTDA (Chick Inox),,"Avenida Trinta e Um de Marco, 1628",(19) 3422-3993,Piracicaba,São Paulo,13424-290,535.687.850.118,29.969.861/0001-64,04/10/2018,AÇO INOXIDÁVEL,Auto-Avaliação - 70% - Bom - II,04/10/2020
MECATTI COMERCIO DE FERRO E ACO LTDA,Carolina Mecatti,"R. CARLOS REINALDO BUSCH, 151",(19) 3451-3099,Limeira,São Paulo,13480-366,417.044.481.118,51.409.126/0001-55,24/09/2018,"AÇOS REDONDO, QUADRADO, SEXTAVADO, CHATO, CANTONEIRA, LAMINADO, 
TREFILADO, 1020, 1045,8620, 8640, VC 131, VND, INOX, AÇO PRATA, OXICORTE, 
CHAPAS, VIGAS, LATÃO, BRONZE, COBRE, ALUMÍNIO, ELETRODO",Auto-Avaliação - 100% - Excelente - I,24/09/2020
METALURGICA BERTIZOLA LTDA - ME,Robert - administrativo@metalurgicabertizola.com.br,"R JOAO COVOLAN FILHO, 419",(19) 3461-7376,Santa Bárbara d'Oeste,São Paulo,13456-134,-,22.652.547/0001-04,15/04/2021,"Metalúrgica, prestação serviço de corte",Auto-Avaliação - 88% - Excelente - I,15/04/2023
MMS MULTIAÇOS METAIS E SERVIÇOS LTDA,"Jéssica Konno Pattaro
jessica.pattaro@multiacos.com","Rod. Eng. Erminio de Oliveira Penteado, 2200 Conj.01 - Joana Leite",(11) 4543-8101,Salto,São Paulo,13329-400,600.057.824.110,12.948.988/0001-02,31/07/2021,"Distribuição, processamento e comercialização de produtos planos de aço e alumínio.",Certificado IATF 16949:2016,30/07/2024
MODERNA COMERCIO DE METAIS EIRELI,Regina - regina@modernametais.com.br,"Rua Waldemar Cyrillo Angarten, 50",(19) 3881-3122,Valinhos,São Paulo,13.279-075,708.231.772.119,37.235.442/0001-27,17/06/2020,"ALUMÍNIO, COBRE E LATÃO",Auto-Avaliação - 87% - Excelente I,17/06/2022
MULTIAÇOS IND.COM.PRODUTOS TECNICOS LTDA,Juliana,"AV.PAPA JOÃO XXIII, 1460-A",(11) 4543-8188,MAUÁ,São Paulo,09370-800,442202779113,53.585.766/0005-75,09/12/2020,"BOBINAS,CHAPAS, ROLOS, TIRAS E PERFIS DE AÇO.",Certificado ISO 9001:2015,08/12/2023
N-H METALURGICA LTDA,compras@pirasolda.com.br - Nanderson,"Avenida Cristóvão Colombo, 215 - Vila Industrial",(19) 3413-3411,Piracicaba,São Paulo,13412-224,535.376.837.116,07.250.605/0001-80,,,,
NOROAÇO COMERCIO DE FERRO E AÇO,MAURICIO,"AV.DR.WILSON DE SOUZA FOZ, 5150",(17) 3426-8637,VOTUPORANGA,São Paulo,15502-052,718.134.246.115,08.682.259/0001-71,08/02/2023,FERRO E AÇO,Auto-Avaliação - 91% - Excelente - I,08/02/2025
OSTI BARRAS E HASTES ROSCADAS,Karina,"Avenida Doutor Lauro Corrêa da Silva, 5000",(19) 3451-6450,Limeira,São Paulo,13481-631,417.073.515.111,71.767.602/0001-17,27/09/2018,"BARRAS ROSCAS, HASTES, TIRANTES, CHUMBADORES E FIXADORES GERAIS",Auto-Avaliação - 90% - Excelente - I,27/09/2020
PAULIFER S/A INDÚSTRIA E COMÉRCIO DE FERRO E AÇO,"João Paulo Luz
joaopaulo@paulifer.com.br","Rod. Régis Bittencourt, km. 287-Jd Itapecerica",(11) 4668-8920,Itapecerica da Serra,São Paulo,06888-700,370.015.668.114,61.514.444/0001–30,03/03/2020,"BOBINAS  E CHAPAS
FINA FRIO,  FINA QUENTE ,  GALVANIZADA  GI e GA e CHAPA GROSSA",Certificado ISO 9001:2015,02/03/2023
PLASTIMETAL- ARTEFATOS DE PLASTICOS E METALICOS LTDA - EPP,Rodolfo,"Rua do Polyester 188, Salto Grande
",(19) 3467-1591,Americana,São Paulo,13474-764,165.343.491.113,08.269.023/0001-08,16/09/2019,Serviço de dobra,Auto-Avaliação - 100% - Excelente - I,16/09/2020
